id,year,occ_id,occ_title,level,employment,emp_prse,hourly_mean,annual_mean,hourly_pct10,hourly_pct25,hourly_median,hourly_pct75,hourly_pct90,annual_pct10,annual_pct25,annual_median,annual_pct75,annual_pct90
263,2014,19-3032,Industrial-Organizational Psychologists,detailed,"1,110",9.4,43.3,"90,070",24.99,31.5,36.99,51.07,69.94,"51,970","65,530","76,950","106,230","145,480"
264,2014,19-3039,"Psychologists, All Other",detailed,"11,980",2.3,43.18,"89,810",20.31,31.45,44.28,51.2,58.01,"42,230","65,420","92,110","106,500","120,670"
265,2014,19-3040,Sociologists,broad,"2,240",6.6,37.89,"78,810",19.03,25.8,35.01,45.88,61.48,"39,580","53,650","72,810","95,440","127,890"
266,2014,19-3041,Sociologists,detailed,"2,240",6.6,37.89,"78,810",19.03,25.8,35.01,45.88,61.48,"39,580","53,650","72,810","95,440","127,890"
267,2014,19-3050,Urban and Regional Planners,broad,"35,820",2.2,33.18,"69,010",20.3,25.38,32.18,40.17,47.86,"42,220","52,790","66,940","83,550","99,560"
268,2014,19-3051,Urban and Regional Planners,detailed,"35,820",2.2,33.18,"69,010",20.3,25.38,32.18,40.17,47.86,"42,220","52,790","66,940","83,550","99,560"
269,2014,19-3090,Miscellaneous Social Scientists and Related Workers,broad,"49,170",1.4,37.91,"78,850",19.83,26.87,36.23,46.36,58.3,"41,240","55,900","75,360","96,430","121,270"
270,2014,19-3091,Anthropologists and Archeologists,detailed,"7,040",5.5,29.8,"61,980",16.63,21.15,28.5,37.02,45.03,"34,580","43,990","59,280","77,000","93,650"
271,2014,19-3092,Geographers,detailed,"1,260",4,36.35,"75,610",20.9,28.41,36.74,43.44,50.32,"43,480","59,100","76,420","90,350","104,670"
272,2014,19-3093,Historians,detailed,"3,220",4.6,29.41,"61,180",13.25,17.74,26.86,39.03,48.87,"27,550","36,900","55,870","81,180","101,640"
273,2014,19-3094,Political Scientists,detailed,"5,640",4.9,50,"104,000",25.07,36.35,50.44,66.1,74.02,"52,150","75,610","104,920","137,500","153,960"
274,2014,19-3099,"Social Scientists and Related Workers, All Other",detailed,"32,010",1.5,38.48,"80,040",22.03,28.41,36.36,46.34,56.21,"45,830","59,090","75,630","96,400","116,910"
275,2014,19-4000,"Life, Physical, and Social Science Technicians",minor,"351,990",1,22.35,"46,480",12.26,15.56,20.49,27.27,35.38,"25,490","32,370","42,630","56,720","73,590"
276,2014,19-4010,Agricultural and Food Science Technicians,broad,"20,640",2.6,17.95,"37,330",10.76,13.35,16.89,21.3,26.53,"22,380","27,770","35,140","44,310","55,170"
277,2014,19-4011,Agricultural and Food Science Technicians,detailed,"20,640",2.6,17.95,"37,330",10.76,13.35,16.89,21.3,26.53,"22,380","27,770","35,140","44,310","55,170"
278,2014,19-4020,Biological Technicians,broad,"72,640",2.4,21.45,"44,610",12.64,15.67,19.85,25.62,32.65,"26,300","32,590","41,290","53,300","67,920"
279,2014,19-4021,Biological Technicians,detailed,"72,640",2.4,21.45,"44,610",12.64,15.67,19.85,25.62,32.65,"26,300","32,590","41,290","53,300","67,920"
280,2014,19-4030,Chemical Technicians,broad,"63,760",1.6,22.78,"47,390",13.03,16.34,21.24,27.97,35.17,"27,100","33,990","44,180","58,170","73,160"
281,2014,19-4031,Chemical Technicians,detailed,"63,760",1.6,22.78,"47,390",13.03,16.34,21.24,27.97,35.17,"27,100","33,990","44,180","58,170","73,160"
282,2014,19-4040,Geological and Petroleum Technicians,broad,"16,020",5.7,28.13,"58,500",12.83,18.35,26.35,36.17,45.55,"26,690","38,170","54,810","75,240","94,750"
283,2014,19-4041,Geological and Petroleum Technicians,detailed,"16,020",5.7,28.13,"58,500",12.83,18.35,26.35,36.17,45.55,"26,690","38,170","54,810","75,240","94,750"
284,2014,19-4050,Nuclear Technicians,broad,"6,380",6.2,36.52,"75,960",22.32,29.27,35.91,42.89,49.23,"46,430","60,880","74,690","89,220","102,400"
285,2014,19-4051,Nuclear Technicians,detailed,"6,380",6.2,36.52,"75,960",22.32,29.27,35.91,42.89,49.23,"46,430","60,880","74,690","89,220","102,400"
